Ik , vuotta	Yht.yhteens	Miehetyhteens	Naisetyhteens	Yht.Naimattomat	MiehetNaimattomat	NaisetNaimattomat	Yht.Naimisissa (*)	MiehetNaimisissa (*)	NaisetNaimisissa (*)	Yht.Eronneet	MiehetEronneet	NaisetEronneet	Yht.Lesket ()	MiehetLesket ()	NaisetLesket ()
0 4 	29011	14744	14267	29011	14744	14267	0	0	0	0	0	0	0	0	0
5 9 	24692	12617	12075	24692	12617	12075	0	0	0	0	0	0	0	0	0
10 14 	25510	13004	12506	25510	13004	12506	0	0	0	0	0	0	0	0	0
15 19 	30629	15068	15561	30519	15051	15468	106	16	90	4	1	3	0	0	0
20 24 	45701	20831	24870	43393	20066	23327	2093	701	1392	213	64	149	2	0	2
25 29 	56420	26967	29453	46185	22961	23224	9030	3573	5457	1191	429	762	14	4	10
30 34 	50885	26005	24880	30903	16926	13977	17204	7908	9296	2750	1167	1583	28	4	24
35 39 	38809	19872	18937	17946	9704	8242	16709	8306	8403	4060	1842	2218	94	20	74
40 44 	41765	20815	20950	16236	8552	7684	18669	9251	9418	6700	2978	3722	160	34	126
45 49 	41476	20340	21136	14047	7073	6974	18884	9536	9348	8199	3644	4555	346	87	259
50 54 	37681	17896	19785	10388	4969	5419	18115	9099	9016	8621	3727	4894	557	101	456
55 59 	36653	16514	20139	8072	3519	4553	18263	8874	9389	9230	3858	5372	1088	263	825
60 64 	39327	17490	21837	6533	2500	4033	21005	10709	10296	9607	3851	5756	2182	430	1752
65 69 	25523	11054	14469	3576	1198	2378	13679	7151	6528	5950	2259	3691	2318	446	1872
70 74 	19955	8069	11886	2441	720	1721	10182	5416	4766	4236	1397	2839	3096	536	2560
75 79 	15877	5937	9940	1858	454	1404	7126	3974	3152	2814	784	2030	4079	725	3354
80 84 	12257	3868	8389	1468	249	1219	4272	2444	1828	1773	380	1393	4744	795	3949
85 89 	7455	1839	5616	914	88	826	1579	968	611	843	141	702	4119	642	3477
90 94 	2886	532	2354	378	17	361	348	230	118	290	22	268	1870	263	1607
95+ 	838	115	723	143	3	140	37	28	9	85	4	81	573	80	493
