Ik,vuotta	Yht.yhteens	Miehetyhteens	Naisetyhteens	Yht.Naimattomat	MiehetNaimattomat	NaisetNaimattomat	Yht.Naimisissa(*)	MiehetNaimisissa(*)	NaisetNaimisissa(*)	Yht.Eronneet	MiehetEronneet	NaisetEronneet	Yht.Lesket()	MiehetLesket()	NaisetLesket()
04	33224	17147	16077	33224	17147	16077	0	0	0	0	0	0	0	0	0
59	30157	15418	14739	30157	15418	14739	0	0	0	0	0	0	0	0	0
1014	26291	13404	12887	26291	13404	12887	0	0	0	0	0	0	0	0	0
1519	27363	13397	13966	27303	13385	13918	59	12	47	1	0	1	0	0	0
2024	46903	21236	25667	45008	20662	24346	1730	527	1203	163	46	117	2	1	1
2529	62531	29614	32917	52912	25879	27033	8307	3207	5100	1296	522	774	16	6	10
3034	58626	29508	29118	37474	19974	17500	17814	8012	9802	3300	1509	1791	38	13	25
3539	50495	26046	24449	24237	13445	10792	21415	10402	11013	4757	2179	2578	86	20	66
4044	40760	21057	19703	15616	8540	7076	19320	9860	9460	5700	2630	3070	124	27	97
4549	38799	19286	19513	13525	7096	6429	17821	8954	8867	7208	3176	4032	245	60	185
5054	42028	20416	21612	13120	6494	6626	19553	9918	9635	8921	3896	5025	434	108	326
5559	37395	17544	19851	10234	4727	5507	17722	8983	8739	8725	3666	5059	714	168	546
6064	34617	15416	19201	7919	3401	4518	16857	8312	8545	8561	3437	5124	1280	266	1014
6569	34116	14859	19257	5821	2154	3667	17614	9057	8557	8239	3130	5109	2442	518	1924
7074	27057	11397	15660	3692	1187	2505	14111	7445	6666	6168	2139	4029	3086	626	2460
7579	18899	7235	11664	2270	564	1706	8769	4742	4027	4112	1210	2902	3748	719	3029
8084	12712	4531	8181	1367	289	1078	4943	2857	2086	2296	599	1697	4106	786	3320
8589	8479	2514	5965	893	122	771	2305	1391	914	1298	248	1050	3983	753	3230
9094	3729	830	2899	408	24	384	551	366	185	442	64	378	2328	376	1952
95+	1000	155	845	113	2	111	51	40	11	96	7	89	740	106	634
