Ikä, vuotta	Yht.yhteensä	Miehetyhteensä	Naisetyhteensä	Yht.Naimattomat	MiehetNaimattomat	NaisetNaimattomat	Yht.Naimisissa (*)	MiehetNaimisissa (*)	NaisetNaimisissa (*)	Yht.Eronneet	MiehetEronneet	NaisetEronneet	Yht.Lesket (¤)	MiehetLesket (¤)	NaisetLesket (¤)
0-4	27395	13985	13410	27395	13985	13410	0	0	0	0	0	0	0	0	0
5-9	26810	13687	13123	26810	13687	13123	0	0	0	0	0	0	0	0	0
10-14	28117	14364	13753	28117	14364	13753	0	0	0	0	0	0	0	0	0
15-19	27090	13318	13772	27007	13297	13710	83	21	62	0	0	0	0	0	0
20-24	44103	20119	23984	41891	19436	22455	2051	633	1418	159	50	109	2	0	2
25-29	53319	26003	27316	42659	21725	20934	9538	3866	5672	1105	408	697	17	4	13
30-34	43398	21854	21544	25407	13563	11844	14836	6981	7855	3111	1304	1807	44	6	38
35-39	45877	22946	22931	21002	10944	10058	18952	9339	9613	5814	2634	3180	109	29	80
40-44	41957	20748	21209	15447	7880	7567	19056	9489	9567	7227	3322	3905	227	57	170
45-49	38532	18454	20078	11248	5481	5767	18440	9104	9336	8446	3778	4668	398	91	307
50-54	38806	17805	21001	8649	3870	4779	19802	9620	10182	9541	4132	5409	814	183	631
55-59	40943	18673	22270	6808	2738	4070	22238	11292	10946	10219	4320	5899	1678	323	1355
60-64	27055	11956	15099	3944	1394	2550	14921	7710	7211	6328	2510	3818	1862	342	1520
65-69	21464	9114	12350	2750	930	1820	11422	6039	5383	4681	1715	2966	2611	430	2181
70-74	18543	7330	11213	2274	647	1627	9242	4988	4254	3313	1039	2274	3714	656	3058
75-79	15353	5222	10131	1943	393	1550	6342	3512	2830	2183	549	1634	4885	768	4117
80-84	10868	2955	7913	1341	155	1186	3216	1852	1364	1214	211	1003	5097	737	4360
85-89	6458	1376	5082	921	57	864	1121	709	412	678	78	600	3738	532	3206
90-94	2644	457	2187	384	15	369	239	164	75	260	21	239	1761	257	1504
95+	598	75	523	103	3	100	24	20	4	43	1	42	428	51	377
